"Property","Field","Profile","UTMZone","Eastings_UTM","Northings_UTM","Eastings_AA","Northings_AA","Longitude","Latitude","mid_depth","Ca_Soln","S","Na_Soln","pH","EC","Cl","ECse","NO3N","Ex_Ca","Ex_Mg","Ex_Na","Ex_K","ESP","EMgP","CEC","ADMC","Coarse_sand","Fine_sand","Silt","Clay","P","OC","Cu","Zn","Mn","Fe","BD","VM_W","VM_D","PAWC"
"Grandview","155",15,56,251804.8711,7306346.782,1855871.499,-2763232.814,150.5538951,-24.33637758,1.2,101.35,84.3,911.5,9.4,0.31,33,1.196456491,14,7.51,14.5,4.12,0.13,15.8,55.76923077,26,2.7,25,17,15,44,NA,NA,NA,NA,NA,NA,1.417777695,0.388603494,0.377220377,2.2766234
"Grandview","155",15,56,251804.8711,7306346.782,1855871.499,-2763232.814,150.5538951,-24.33637758,1.4,104.15,105.3,1012,9.4,0.37,72,1.619966724,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.444306319,0.326505165,0.348140472,0
"Grandview","155",16,56,252020.6908,7306392.293,1856089.492,-2763222.099,150.5560285,-24.33600118,0.05,83.55,42,148.95,8.3,0.13,20,0.503380029,5,33.3,13.7,0.82,0.51,1.6,27.4,50,4.1,18,13,10,55,1,1.37,2,0.8,21.9,17.6,1.444417804,0.265154207,0.168902494,9.6251713
"Grandview","155",16,56,252020.6908,7306392.293,1856089.492,-2763222.099,150.5560285,-24.33600118,0.2,37.535,42,217.4,8.6,0.1,20,0.409197399,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.442241917,0.352574112,0.269470066,16.6208092
"Grandview","155",16,56,252020.6908,7306392.293,1856089.492,-2763222.099,150.5560285,-24.33600118,0.4,43.605,42,289.5,8.8,0.13,20,0.491937167,16,25.8,15.1,2.97,0.18,5.9,30.2,50,4.3,18,15,10,59,NA,NA,NA,NA,NA,NA,1.432394054,0.374327565,0.28140954,18.583605
"Grandview","155",16,56,252020.6908,7306392.293,1856089.492,-2763222.099,150.5560285,-24.33600118,0.6,63.3,42,484.8,9,0.21,28,0.772841805,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.461808007,0.362672372,0.3194705,8.6403744
"Grandview","155",16,56,252020.6908,7306392.293,1856089.492,-2763222.099,150.5560285,-24.33600118,0.8,62.7,137.65,689,9,0.32,133,1.498005102,21,19.1,18.2,6.86,0.22,14.6,38.72340426,47,4.4,14,14,12,62,NA,NA,NA,NA,NA,NA,1.542154636,0.363151493,0.316662033,9.297892
"Grandview","155",16,56,252020.6908,7306392.293,1856089.492,-2763222.099,150.5560285,-24.33600118,1,76.2,348.5,757.5,8.7,0.54,418,3.053740601,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.539662976,0.32585116,0.325444831,0.0812658
"Grandview","155",16,56,252020.6908,7306392.293,1856089.492,-2763222.099,150.5560285,-24.33600118,1.2,91.25,581,1121,8.1,0.73,697,4.448196123,31,15.7,18.5,7.64,0.24,20.6,50,37,3.9,16,13,11,62,NA,NA,NA,NA,NA,NA,1.545545849,0.295840313,0.33165876,0
"Grandview","155",16,56,252020.6908,7306392.293,1856089.492,-2763222.099,150.5560285,-24.33600118,1.4,79.7,856.5,1109,5.8,0.75,708,4.550865557,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.541488961,0.306370472,0.340631797,0
"Sunbury","Jodies",1,55,771915.6831,6784411.623,1706976.977,-3274677.605,149.7922199,-29.03957814,0.05,70.85,42,340.95,8.1,0.21,32,0.806833054,20,27.3,9.54,2.16,1.14,5.5,23.85,40,5.8,7,30,11,56,10,0.9,1.2,1.3,19.3,15.4,1.155040218,0.258922644,0.209133192,4.9789452
"Sunbury","Jodies",1,55,771915.6831,6784411.623,1706976.977,-3274677.605,149.7922199,-29.03957814,0.2,131.9,48.08,676,8.7,0.25,66,1.083173831,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.215627951,0.414648825,0.308336712,21.2624226
"Sunbury","Jodies",1,55,771915.6831,6784411.623,1706976.977,-3274677.605,149.7922199,-29.03957814,0.4,144,376.15,1228.5,8.6,0.63,394,3.492109432,12,26.8,9.57,2.13,1.15,5,22.25581395,43,4.6,7,28,13,55,NA,NA,NA,NA,NA,NA,1.224774579,0.432468901,0.367324535,13.0288732
"Sunbury","Jodies",1,55,771915.6831,6784411.623,1706976.977,-3274677.605,149.7922199,-29.03957814,0.6,20350,54300,2397.5,7.8,3.75,1140,16.92655336,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.218575115,0.469193724,0.418959213,10.0469022
"Sunbury","Jodies",1,55,771915.6831,6784411.623,1706976.977,-3274677.605,149.7922199,-29.03957814,0.8,23060,61150,2582.5,7.8,4.05,1440,19.03258622,2,20.4,11,8.64,0.75,25.7,25.58139535,43,8.7,7,28,13,55,NA,NA,NA,NA,NA,NA,1.159074195,0.468845996,0.415386354,10.6919284
"Sunbury","Jodies",1,55,771915.6831,6784411.623,1706976.977,-3274677.605,149.7922199,-29.03957814,1,17015,47940,2991.5,7.8,4.29,1790,21.05588805,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.142619425,0.462190035,0.457683347,0.9013376
"Sunbury","Jodies",1,55,771915.6831,6784411.623,1706976.977,-3274677.605,149.7922199,-29.03957814,1.2,6345,22685,3564.5,8.1,4.47,2150,22.0784587,2,28.1,15,12.6,1.29,20,23.80952381,63,6.2,5,18,19,60,NA,NA,NA,NA,NA,NA,1.168526276,0.472669367,0.458820907,2.769692
"Sunbury","Jodies",1,55,771915.6831,6784411.623,1706976.977,-3274677.605,149.7922199,-29.03957814,1.4,247.5,1672,2939,8.3,2.14,2300,13.85035922,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.104069228,0.446596464,0.475725559,0
"Sunbury","Jodies",2,55,773210.3643,6784186.859,1708220.916,-3275050.163,149.8055563,-29.04132741,0.05,106.65,213.85,1200.5,7.2,1.15,1470,7.924989581,54,25.6,11.9,4.65,2.55,11.2,28.33333333,42,8.3,4,26,13,61,10,0.95,1.4,1.3,31.8,16,1.282987437,0.295122455,0.192215811,10.2906644
"Sunbury","Jodies",2,55,773210.3643,6784186.859,1708220.916,-3275050.163,149.8055563,-29.04132741,0.2,98.45,545.5,1502.5,8.2,1.42,1730,9.591444065,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.193281585,0.420642863,0.320110328,20.106507
"Sunbury","Jodies",2,55,773210.3643,6784186.859,1708220.916,-3275050.163,149.8055563,-29.04132741,0.4,6035,20490,3088,7.8,4.37,2170,21.78447054,10,29.3,12.4,10.4,1,17.9,21.37931034,58,6,4,20,17,60,NA,NA,NA,NA,NA,NA,1.221272886,0.457481966,0.388296423,13.8371086
"Sunbury","Jodies",2,55,773210.3643,6784186.859,1708220.916,-3275050.163,149.8055563,-29.04132741,0.6,19470,53050,3199.5,7.8,4.62,2430,23.42346486,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.198873342,0.487317415,0.41590498,14.282487
"Sunbury","Jodies",2,55,773210.3643,6784186.859,1708220.916,-3275050.163,149.8055563,-29.04132741,0.8,19765,54800,3564.5,7.8,4.92,2720,25.31980549,3,26.6,12.4,11.4,1.08,20.7,22.54545455,55,8.1,4,20,17,60,NA,NA,NA,NA,NA,NA,1.135168623,0.497338729,0.418092084,15.849329
"Sunbury","Jodies",2,55,773210.3643,6784186.859,1708220.916,-3275050.163,149.8055563,-29.04132741,1,9935,37615,4266.5,7.8,5.27,3300,28.18745039,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.102046144,0.482827147,0.440920849,8.3812596
"Sunbury","Jodies",2,55,773210.3643,6784186.859,1708220.916,-3275050.163,149.8055563,-29.04132741,1.2,240.8,1503,3438,8.1,3.24,4050,20.01064854,4,26.3,14.5,15.3,1.28,30,28.43137255,51,6.3,3,13,11,75,NA,NA,NA,NA,NA,NA,1.163393368,0.50970452,0.511023255,0
"Sunbury","Jodies",2,55,773210.3643,6784186.859,1708220.916,-3275050.163,149.8055563,-29.04132741,1.4,228.05,1230.5,3943,8.2,3.25,4290,20.51529523,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.165541489,0.510645653,0.437310176,14.6670954
"Sunbury","Jodies",3,55,772378.2219,6784331.466,1707421.405,-3274810.565,149.7969844,-29.04020196,0.05,77.6,72.65,421.4,7.5,0.46,383,2.768485802,63,30.7,7.38,2.3,1.56,5.4,17.1627907,43,4.8,5,24,12,57,5,0.92,1.2,0.9,19.4,14.1,1.286420561,0.316363509,0.204622718,11.1740791
"Sunbury","Jodies",3,55,772378.2219,6784331.466,1707421.405,-3274810.565,149.7969844,-29.04020196,0.2,95.7,286.5,811,8.3,0.65,651,4.190455417,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25219973,0.420195124,0.28537893,26.9632388
